consumer_id,visit_time,day_of_week,age_group,gender,loyalty_status,product_touch_count,time_spent_near_shelf,distance_to_shelf,gesture_type,path_pattern,time_in_zone,speed,direction_changes,attention_score,interest_level,purchase_likelihood
1,Afternoon,Tuesday,Adult,Female,Regular,2,64.72313444154165,0.8531968428015673,Pick,Path_D,54.589364560405244,1.0038589920618828,6,1.558028166449105,58.36230976410867,0
2,Evening,Saturday,Adult,Female,First-time,4,94.72885609532587,0.5869305594801001,Scan,Path_A,174.24185386525767,1.0887163494436138,6,2.814400093527425,54.76772553002604,1
3,Afternoon,Thursday,Adult,Male,First-time,2,54.4441134533912,0.19201861940690812,Inspect,Path_C,162.10597554591044,1.3599310830104245,3,2.3137862269813327,40.25164423471403,0
4,Afternoon,Friday,Adult,Female,First-time,3,84.50790465719345,0.4827112658097076,Scan,Path_D,101.09262446252032,1.633715433642698,3,2.336865879776771,41.91754507011976,0
5,Morning,Friday,Senior,Female,First-time,3,61.80827987390377,0.6349776185829656,Inspect,Path_D,130.4734128228615,0.8026280776389353,5,2.124013130887121,39.93207440673396,0
6,Morning,Tuesday,Adult,Male,Regular,2,46.055126982153354,0.5113257427713147,Inspect,Path_C,121.53942113363708,1.3539441611698468,2,1.6214157306861676,55.992276306643895,1
7,Morning,Monday,Adult,Male,First-time,3,112.03149030968038,0.8413642940708981,Pick,Path_D,95.50424861114743,1.5659798926609452,4,2.2978666120266893,42.60076271484492,0
8,Evening,Thursday,Adult,Male,Occasional,0,86.19417648726682,0.3288075682548538,Inspect,Path_B,124.9277464545919,1.4084114911401138,4,1.0392293877423402,52.5512308812345,0
9,Afternoon,Friday,Adult,Female,First-time,1,64.68646586359829,0.7490245043975313,Pick,Path_C,102.28913773255213,1.5457611030990976,4,1.0904462905780008,52.64301414075955,1
10,Afternoon,Tuesday,Young Adult,Female,Occasional,1,75.31992699620793,0.6678134977919712,Scan,Path_C,159.21354680871053,1.0369434741164751,5,1.1760844472246843,73.68393468235372,1
11,Morning,Friday,Young Adult,Male,First-time,3,38.35962603394016,0.517753337170891,Scan,Path_A,111.56766701975155,1.571031566850662,4,2.078082458326503,53.13251259801704,0
12,Evening,Sunday,Senior,Female,Occasional,5,39.063769746978224,0.5662658504121615,Pick,Path_C,215.62141908583436,0.9826613495272878,6,3.0485098452508,41.88855985249536,1
13,Evening,Thursday,Adult,Female,First-time,1,82.28180573655091,0.30446229238948097,Pick,Path_D,116.88608873822706,1.2165384616092167,3,1.5683048249745055,35.39849737933601,0
14,Morning,Thursday,Young Adult,Female,Regular,7,60.095947575002405,0.43854869298622123,Inspect,Path_A,124.51082980340271,1.0492827756839824,0,4.256529438167435,47.24147285362255,1
15,Morning,Sunday,Adult,Male,Regular,3,56.88364889597572,0.6154235011276286,Pick,Path_D,141.1263408684673,1.061341445021113,2,2.109397709244458,48.80914157572681,1
16,Morning,Wednesday,Adult,Male,First-time,2,54.24124610078686,0.47017657135697744,Scan,Path_B,153.48204016942088,0.6835938098417866,5,1.6965783400133037,27.893004726094443,1
17,Afternoon,Sunday,Young Adult,Male,Regular,6,63.04134870938226,0.5120477418557469,Pick,Path_B,123.11897847274928,0.608455449680418,1,3.705795322797679,42.86145839706987,1
18,Afternoon,Saturday,Young Adult,Female,First-time,5,54.91501176897415,0.6984886593316573,Pick,Path_A,140.25517994778647,1.5530350146522964,2,3.060907553049384,52.97352542827553,1
19,Afternoon,Saturday,Adult,Male,Occasional,4,19.357184462571475,0.11855124325482508,Pick,Path_A,127.31215856680507,0.6602997479365778,7,3.783820106932089,44.67644329733825,0
20,Morning,Tuesday,Adult,Female,First-time,3,88.31750533656603,0.5738769588066667,Inspect,Path_D,88.85669417015372,1.2751327780547859,2,2.29009428746285,59.68623785705837,1
21,Afternoon,Thursday,Young Adult,Male,Occasional,1,57.78879276322428,0.8553077028866856,Pick,Path_B,78.07398800879453,0.8102893091203316,5,1.0227779387996212,34.4164355527948,1
